"Commodity","Country","UOM","Category","SubCategory","YearNum","FoodValue"
"Total live animals","CANADA","Million $","Animals","Foods",1999,876.9
"Total live animals","MEXICO","Million $","Animals","Foods",1999,292.2
"Total live animals","REST OF WORLD","Million $","Animals","Foods",1999,0.1
"Bovine animals, live","CANADA","Million $","Animals","Foods",1999,639.0
"Bovine animals, live","MEXICO","Million $","Animals","Foods",1999,292.1
"Swine, live","CANADA","Million $","Animals","Foods",1999,216.1
"Sheep and goats, live","CANADA","Million $","Animals","Foods",1999,5.3
"Live poultry","CANADA","Million $","Animals","Foods",1999,16.5
"Bird eggs","CANADA","Million $","Animals","Foods",1999,13.4
"Bird eggs","UNITED KINGDOM","Million $","Animals","Foods",1999,0.6
"Bird eggs","CHINA","Million $","Animals","Foods",1999,3.9
"Bird eggs","TURKEY","Million $","Animals","Foods",1999,0.0
"Bird eggs","BELGIUM","Million $","Animals","Foods",1999,0.0
"Bird eggs","TAIWAN","Million $","Animals","Foods",1999,0.6
"Bird eggs","THAILAND","Million $","Animals","Foods",1999,0.7
"Bird eggs","REST OF WORLD","Million $","Animals","Foods",1999,1.3
"Total red meats, fresh and frozen","AUSTRALIA","Million $","Meats","Foods",1999,621.8
"Total red meats, fresh and frozen","CANADA","Million $","Meats","Foods",1999,1353.8
"Total red meats, fresh and frozen","MEXICO","Million $","Meats","Foods",1999,9.3
"Total red meats, fresh and frozen","NEW ZEALAND","Million $","Meats","Foods",1999,417.9
"Total red meats, fresh and frozen","BRAZIL","Million $","Meats","Foods",1999,0.0
"Total red meats, fresh and frozen","URUGUAY","Million $","Meats","Foods",1999,45.1
"Total red meats, fresh and frozen","NICARAGUA","Million $","Meats","Foods",1999,14.4
"Total red meats, fresh and frozen","REST OF WORLD","Million $","Meats","Foods",1999,210.6
"Fresh or chilled red meats","CANADA","Million $","Meats","Foods",1999,1236.1
"Fresh or chilled red meats","MEXICO","Million $","Meats","Foods",1999,5.3
"Fresh or chilled red meats","AUSTRALIA","Million $","Meats","Foods",1999,32.2
"Fresh or chilled red meats","NICARAGUA","Million $","Meats","Foods",1999,3.9
"Fresh or chilled red meats","NEW ZEALAND","Million $","Meats","Foods",1999,10.0
"Fresh or chilled red meats","URUGUAY","Million $","Meats","Foods",1999,13.0
"Fresh or chilled red meats","REST OF WORLD","Million $","Meats","Foods",1999,29.3
"Frozen red meats and parts","AUSTRALIA","Million $","Meats","Foods",1999,493.5
"Frozen red meats and parts","NEW ZEALAND","Million $","Meats","Foods",1999,329.5
"Frozen red meats and parts","BRAZIL","Million $","Meats","Foods",1999,0.0
"Frozen red meats and parts","URUGUAY","Million $","Meats","Foods",1999,31.4
"Frozen red meats and parts","CANADA","Million $","Meats","Foods",1999,117.5
"Frozen red meats and parts","MEXICO","Million $","Meats","Foods",1999,4.0
"Frozen red meats and parts","REST OF WORLD","Million $","Meats","Foods",1999,191.6
"Fowl and other meats","CHILE","Million $","Meats","Foods",1999,0.0
"Fowl and other meats","CANADA","Million $","Meats","Foods",1999,20.0
"Fowl and other meats","NEW ZEALAND","Million $","Meats","Foods",1999,10.3
"Fowl and other meats","CHINA","Million $","Meats","Foods",1999,2.4
"Fowl and other meats","REST OF WORLD","Million $","Meats","Foods",1999,7.8
"Prepared meats","CANADA","Million $","Meats","Foods",1999,173.0
"Prepared meats","BRAZIL","Million $","Meats","Foods",1999,125.0
"Prepared meats","ITALY","Million $","Meats","Foods",1999,18.2
"Prepared meats","MEXICO","Million $","Meats","Foods",1999,8.3
"Prepared meats","URUGUAY","Million $","Meats","Foods",1999,4.7
"Prepared meats","SPAIN","Million $","Meats","Foods",1999,2.2
"Prepared meats","POLAND","Million $","Meats","Foods",1999,28.0
"Prepared meats","NEW ZEALAND","Million $","Meats","Foods",1999,2.8
"Prepared meats","REST OF WORLD","Million $","Meats","Foods",1999,184.9
"Total fish and shellfish","CANADA","Million $","Fish","Foods",1999,1708.8
"Total fish and shellfish","CHILE","Million $","Fish","Foods",1999,371.2
"Total fish and shellfish","INDIA","Million $","Fish","Foods",1999,199.1
"Total fish and shellfish","INDONESIA","Million $","Fish","Foods",1999,306.1
"Total fish and shellfish","VIETNAM","Million $","Fish","Foods",1999,139.5
