"Commodity","Country","UOM","Category","SubCategory","YearNum","FoodValue"
"Animals","WORLD","percent","Food dollars","Subtotal foods",2000,12.6998729
"Beverages","WORLD","percent","Food dollars","Foods",2000,8.198215383
"Beverages","WORLD","percent","Food dollars","Subtotal foods",2000,8.198215383
"Cocoa and chocolate","WORLD","percent","Food dollars","Foods",2000,-7.750410509
"Coffee, tea, and spices","WORLD","percent","Food dollars","Foods",2000,-4.492604823
"Dairy","WORLD","percent","Food dollars","Foods",2000,-0.859937655
"Fish and shellfish","WORLD","percent","Food dollars","Foods",2000,11.51267523
"Fruits","WORLD","percent","Food dollars","Foods",2000,-3.051922315
"Grains","WORLD","percent","Food dollars","Foods",2000,2.937381404
"Live meat animals","WORLD","percent","Food dollars","Foods",2000,19.2737665
"Meats","WORLD","percent","Food dollars","Foods",2000,17.39610489
"Nuts","WORLD","percent","Food dollars","Foods",2000,1.864214637
"Other edible products","WORLD","percent","Food dollars","Foods",2000,-0.977614055
"Plants","WORLD","percent","Food dollars","Subtotal foods",2000,-1.091550573
"Sugar and candy","WORLD","percent","Food dollars","Foods",2000,-2.045811108
"U.S. imports","WORLD","percent","Food dollars","Total foods",2000,4.766201085
"Vegetable oils","WORLD","percent","Food dollars","Foods",2000,0.498570276
"Vegetables","WORLD","percent","Food dollars","Foods",2000,3.853787628
"Beverages","WORLD (Quantity)","percent","Food volume","Foods",2000,10.18089316
"Cocoa and chocolate","WORLD (Quantity)","percent","Food volume","Foods",2000,8.13034535
"Coffee, tea, and spices","WORLD (Quantity)","percent","Food volume","Foods",2000,4.513236809
"Dairy","WORLD (Quantity)","percent","Food volume","Foods",2000,-0.568942436
"Fish and shellfish","WORLD (Quantity)","percent","Food volume","Foods",2000,1.972821552
"Fruits","WORLD (Quantity)","percent","Food volume","Foods",2000,-2.498947073
"Grains","WORLD (Quantity)","percent","Food volume","Foods",2000,-5.261402364
"Live meat animals","WORLD (Quantity)","percent","Food volume","Foods",2000,7.648884194
"Meats","WORLD (Quantity)","percent","Food volume","Foods",2000,9.62072798
"Nuts","WORLD (Quantity)","percent","Food volume","Foods",2000,14.89518205
"Other edible products","WORLD (Quantity)","percent","Food volume","Foods",2000,4.852849092
"Sugar and candy","WORLD (Quantity)","percent","Food volume","Foods",2000,-4.339554267
"Vegetable oils","WORLD (Quantity)","percent","Food volume","Foods",2000,16.82278007
"Vegetables","WORLD (Quantity)","percent","Food volume","Foods",2000,-0.813620297
"Animals","WORLD","percent","Food dollars","Subtotal foods",2001,3.973505807
"Beverages","WORLD","percent","Food dollars","Foods",2001,5.66318635
"Beverages","WORLD","percent","Food dollars","Subtotal foods",2001,5.66318635
"Cocoa and chocolate","WORLD","percent","Food dollars","Foods",2001,9.355642577
"Coffee, tea, and spices","WORLD","percent","Food dollars","Foods",2001,-30.24870707
"Dairy","WORLD","percent","Food dollars","Foods",2001,7.969207416
"Fish and shellfish","WORLD","percent","Food dollars","Foods",2001,-2.191339906
"Fruits","WORLD","percent","Food dollars","Foods",2001,0.65197745
"Grains","WORLD","percent","Food dollars","Foods",2001,9.290665094
