"Commodity","Country","UOM","Category","SubCategory","YearNum","FoodValue"
"Meats","WORLD","Dollars per mt","Prices","Imported food prices",1999,2264.86524
"Fish and shellfish","WORLD","Dollars per mt","Prices","Imported food prices",1999,5280.605555
"Dairy","WORLD","Dollars per mt","Prices","Imported food prices",1999,3113.453815
"Vegetables","WORLD","Dollars per mt","Prices","Imported food prices",1999,758.737529
"Fruits","WORLD","Dollars per mt","Prices","Imported food prices",1999,611.8080992
"Nuts","WORLD","Dollars per mt","Prices","Imported food prices",1999,2919.823465
"Coffee, tea, and spices","WORLD","Dollars per mt","Prices","Imported food prices",1999,2183.134428
"Grains","WORLD","Dollars per mt","Prices","Imported food prices",1999,382.1332753
"Vegetable oils","WORLD","Dollars per mt","Prices","Imported food prices",1999,638.7692019
"Sugar and candy","WORLD","Dollars per mt","Prices","Imported food prices",1999,721.8246059
"Cocoa and chocolate","WORLD","Dollars per mt","Prices","Imported food prices",1999,1648.262423
"Beverages","WORLD","Dollars per KL","Prices","Imported food prices",1999,1333.550028
"Meats","WORLD","Dollars per mt","Prices","Imported food prices",2000,2425.511691
"Fish and shellfish","WORLD","Dollars per mt","Prices","Imported food prices",2000,5774.621544
"Dairy","WORLD","Dollars per mt","Prices","Imported food prices",2000,3104.341972
"Vegetables","WORLD","Dollars per mt","Prices","Imported food prices",2000,794.4413985
"Fruits","WORLD","Dollars per mt","Prices","Imported food prices",2000,608.338242
"Nuts","WORLD","Dollars per mt","Prices","Imported food prices",2000,2588.668374
"Coffee, tea, and spices","WORLD","Dollars per mt","Prices","Imported food prices",2000,1995.015071
"Grains","WORLD","Dollars per mt","Prices","Imported food prices",2000,415.2035146
"Vegetable oils","WORLD","Dollars per mt","Prices","Imported food prices",2000,549.5109044
"Sugar and candy","WORLD","Dollars per mt","Prices","Imported food prices",2000,739.1324936
"Cocoa and chocolate","WORLD","Dollars per mt","Prices","Imported food prices",2000,1406.187425
"Beverages","WORLD","Dollars per KL","Prices","Imported food prices",2000,1309.553127
"Meats","WORLD","Dollars per mt","Prices","Imported food prices",2001,2604.773562
"Fish and shellfish","WORLD","Dollars per mt","Prices","Imported food prices",2001,5505.526436
"Dairy","WORLD","Dollars per mt","Prices","Imported food prices",2001,3078.20711
"Vegetables","WORLD","Dollars per mt","Prices","Imported food prices",2001,810.830339
"Fruits","WORLD","Dollars per mt","Prices","Imported food prices",2001,624.3093185
"Nuts","WORLD","Dollars per mt","Prices","Imported food prices",2001,2121.557455
"Coffee, tea, and spices","WORLD","Dollars per mt","Prices","Imported food prices",2001,1500.625078
"Grains","WORLD","Dollars per mt","Prices","Imported food prices",2001,404.3760572
"Vegetable oils","WORLD","Dollars per mt","Prices","Imported food prices",2001,476.7390341
"Sugar and candy","WORLD","Dollars per mt","Prices","Imported food prices",2001,789.318528
"Cocoa and chocolate","WORLD","Dollars per mt","Prices","Imported food prices",2001,1550.005046
"Beverages","WORLD","Dollars per KL","Prices","Imported food prices",2001,1295.918122
"Meats","WORLD","Dollars per mt","Prices","Imported food prices",2002,2519.705882
"Fish and shellfish","WORLD","Dollars per mt","Prices","Imported food prices",2002,5248.538166
"Dairy","WORLD","Dollars per mt","Prices","Imported food prices",2002,3057.896332
"Vegetables","WORLD","Dollars per mt","Prices","Imported food prices",2002,788.6655399
"Fruits","WORLD","Dollars per mt","Prices","Imported food prices",2002,638.7804939
"Nuts","WORLD","Dollars per mt","Prices","Imported food prices",2002,2106.133494
"Coffee, tea, and spices","WORLD","Dollars per mt","Prices","Imported food prices",2002,1501.070009
"Grains","WORLD","Dollars per mt","Prices","Imported food prices",2002,479.3481885
"Vegetable oils","WORLD","Dollars per mt","Prices","Imported food prices",2002,548.3235541
"Sugar and candy","WORLD","Dollars per mt","Prices","Imported food prices",2002,867.4872943
"Cocoa and chocolate","WORLD","Dollars per mt","Prices","Imported food prices",2002,1921.960271
"Beverages","WORLD","Dollars per KL","Prices","Imported food prices",2002,1380.068899
"Meats","WORLD","Dollars per mt","Prices","Imported food prices",2003,2667.871994
