"Commodity","Country","UOM","Category","SubCategory","YearNum","FoodValue"
"Total live animals","WORLD (Quantity)","1,000","Animals","Foods",1999,6058.4
"Bovine animals, live","WORLD (Quantity)","1,000","Animals","Foods",1999,1868.8
"Swine, live","WORLD (Quantity)","1,000","Animals","Foods",1999,4136.3
"Sheep and goats, live","WORLD (Quantity)","1,000","Animals","Foods",1999,53.2
"Live poultry","WORLD (Quantity)","1,000","Animals","Foods",1999,8113.5
"Total red meats, fresh and frozen","WORLD (Quantity)","1,000 mt","Meats","Foods",1999,1248.4
"Fresh or chilled red meats","WORLD (Quantity)","1,000 mt","Meats","Foods",1999,547.6
"Frozen red meats and parts","WORLD (Quantity)","1,000 mt","Meats","Foods",1999,654.1
"Fowl and other meats","WORLD (Quantity)","1,000 mt","Meats","Foods",1999,11.5
"Prepared meats","WORLD (Quantity)","1,000 mt","Meats","Foods",1999,179.7
"Total fish and shellfish","WORLD (Quantity)","1,000 mt","Fish","Foods",1999,1677.8
"Whole fish--fresh, chilled, or frozen","WORLD (Quantity)","1,000 mt","Fish","Foods",1999,385.8
"Fish fillets and mince","WORLD (Quantity)","1,000 mt","Fish","Foods",1999,403.4
"Shellfish, fresh or frozen","WORLD (Quantity)","1,000 mt","Fish","Foods",1999,486.9
"Prepared fish and shellfish","WORLD (Quantity)","1,000 mt","Fish","Foods",1999,401.7
"Total vegetables and preparations","WORLD (Quantity)","1,000 mt","Vegetables","Foods",1999,4781.1
"Fresh vegetables","WORLD (Quantity)","1,000 mt","Vegetables","Foods",1999,2990.6
"Frozen vegetables","WORLD (Quantity)","1,000 mt","Vegetables","Foods",1999,376.3
"Dried vegetables","WORLD (Quantity)","1,000 mt","Vegetables","Foods",1999,253.9
"Prepared or preserved vegetables","WORLD (Quantity)","1,000 mt","Vegetables","Foods",1999,1164.1
"Total dairy products","WORLD (Quantity)","1,000 mt","Dairy","Foods",1999,298.8
"Cheese, fresh or processed","WORLD (Quantity)","1,000 mt","Dairy","Foods",1999,197.6
"Yogurt, buttermilk, or whey","WORLD (Quantity)","1,000 mt","Dairy","Foods",1999,56.4
"Milk and cream","WORLD (Quantity)","1,000 mt","Dairy","Foods",1999,18.6
"Butter or spreads","WORLD (Quantity)","1,000 mt","Dairy","Foods",1999,26.2
"Total fruit and preparations","WORLD (Quantity)","1,000 mt","Fruits","Foods",1999,7835.3
"Fresh or chilled fruit","WORLD (Quantity)","1,000 mt","Fruits","Foods",1999,6982.5
"Bananas and plantains","WORLD (Quantity)","1,000 mt","Fruits","Foods",1999,4508.6
"Frozen fruit","WORLD (Quantity)","1,000 mt","Fruits","Foods",1999,109.0
"Dried, prepared or preserved fruit","WORLD (Quantity)","1,000 mt","Fruits","Foods",1999,743.6
"Fruit juices","WORLD (Quantity)","1,000 mt","Fruits","Foods",1999,0.3
"Total nuts","WORLD (Quantity)","1,000 mt","Nuts","Foods",1999,271.9
"Tree nuts","WORLD (Quantity)","1,000 mt","Nuts","Foods",1999,179.2
"Cashew nuts","WORLD (Quantity)","1,000 mt","Nuts","Foods",1999,72.7
"Prepared tree nuts","WORLD (Quantity)","1,000 mt","Nuts","Foods",1999,21.8
"Ground nuts","WORLD (Quantity)","1,000 mt","Nuts","Foods",1999,70.9
"Total coffee, tea, and spices","WORLD (Quantity)","1,000 mt","Coffee","Foods",1999,1650.7
"Coffee beans, unroasted","WORLD (Quantity)","1,000 mt","Coffee","Foods",1999,1233.6
"Coffee, roasted and instant","WORLD (Quantity)","1,000 mt","Coffee","Foods",1999,40.9
"Coffee extracts and preparations","WORLD (Quantity)","1,000 mt","Coffee","Foods",1999,34.7
"Tea and mate","WORLD (Quantity)","1,000 mt","Coffee","Foods",1999,152.0
"Spices","WORLD (Quantity)","1,000 mt","Coffee","Foods",1999,189.5
"Total grains and products","WORLD (Quantity)","1,000 mt","Grains","Foods",1999,6895.5
"Bulk grains","WORLD (Quantity)","1,000 mt","Grains","Foods",1999,5295.2
"Wheat and products","WORLD (Quantity)","1,000 mt","Grains","Foods",1999,2479.7
"Rice and products","WORLD (Quantity)","1,000 mt","Grains","Foods",1999,361.1
"Milled grain products","WORLD (Quantity)","1,000 mt","Grains","Foods",1999,591.5
"Cereal and bakery foods","WORLD (Quantity)","1,000 mt","Grains","Foods",1999,1008.8
"Total vegetable oils","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",1999,1369.4
"Crude vegetable oils","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",1999,269.8
"Refined vegetable oils","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",1999,943.0
"Olive oil","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",1999,151.0
"Tropical oils","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",1999,655.9
"Oilseeds","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",1999,765.8
"Total sweeteners and candy","WORLD (Quantity)","1,000 mt","Sweets","Foods",1999,2207.6
"Sugar, cane and beet","WORLD (Quantity)","1,000 mt","Sweets","Foods",1999,1602.9
"Other sweeteners and syrups","WORLD (Quantity)","1,000 mt","Sweets","Foods",1999,293.0
"Confections","WORLD (Quantity)","1,000 mt","Sweets","Foods",1999,311.7
"Total cocoa and products","WORLD (Quantity)","1,000 mt","Cocoa","Foods",1999,923.7
"Cocoa beans","WORLD (Quantity)","1,000 mt","Cocoa","Foods",1999,467.2
"Cocoa paste, butter, and powder","WORLD (Quantity)","1,000 mt","Cocoa","Foods",1999,212.2
"Chocolate","WORLD (Quantity)","1,000 mt","Cocoa","Foods",1999,243.3
"Sauces, soups, prepared foods","WORLD (Quantity)","1,000 mt","Other","Foods",1999,508.0
"Essential oils","WORLD (Quantity)","1,000 mt","Other","Foods",1999,39.5
"Animal and other fats","WORLD (Quantity)","1,000 mt","Other","Foods",1999,176.8
"Other edible products","WORLD (Quantity)","1,000 mt","Other","Foods",1999,233.9
"Total beverages","WORLD (Quantity)","1,000 litpf","Beverages","Foods",1999,3538.0
"Wine","WORLD (Quantity)","1,000 litpf","Beverages","Foods",1999,428.7
"Malt beer","WORLD (Quantity)","1,000 litpf","Beverages","Foods",1999,2075.1
"Nonalcoholic beverages","WORLD (Quantity)","1,000 litpf","Beverages","Foods",1999,1034.2
"Liquors and liqueurs","WORLD (Quantity)","1,000 litpf","Beverages","Foods",1999,401003.5
"Live meat animals","WORLD (Quantity)","1,000","Food volume","Foods",1999,6058.4
"Meats","WORLD (Quantity)","1,000 mt","Food volume","Foods",1999,1439.6
"Fish and shellfish","WORLD (Quantity)","1,000 mt","Food volume","Foods",1999,1677.8
"Dairy","WORLD (Quantity)","1,000 mt","Food volume","Foods",1999,298.8
"Vegetables","WORLD (Quantity)","1,000 mt","Food volume","Foods",1999,4781.1
"Fruits","WORLD (Quantity)","1,000 mt","Food volume","Foods",1999,7835.3
"Nuts","WORLD (Quantity)","1,000 mt","Food volume","Foods",1999,271.9
"Coffee, tea, and spices","WORLD (Quantity)","1,000 mt","Food volume","Foods",1999,1650.7
"Grains","WORLD (Quantity)","1,000 mt","Food volume","Foods",1999,6895.5
"Vegetable oils","WORLD (Quantity)","1,000 mt","Food volume","Foods",1999,2135.2
"Sugar and candy","WORLD (Quantity)","1,000 mt","Food volume","Foods",1999,2207.6
"Cocoa and chocolate","WORLD (Quantity)","1,000 mt","Food volume","Foods",1999,923.7
"Other edible products","WORLD (Quantity)","1,000 mt","Food volume","Foods",1999,958.2
"Beverages","WORLD (Quantity)","1,000 litpf","Food volume","Foods",1999,3538.0
"Total live animals","WORLD (Quantity)","1,000","Animals","Foods",2000,6521.8
"Bovine animals, live","WORLD (Quantity)","1,000","Animals","Foods",2000,2115.8
"Swine, live","WORLD (Quantity)","1,000","Animals","Foods",2000,4353.0
"Sheep and goats, live","WORLD (Quantity)","1,000","Animals","Foods",2000,53.0
"Live poultry","WORLD (Quantity)","1,000","Animals","Foods",2000,9146.4
"Total red meats, fresh and frozen","WORLD (Quantity)","1,000 mt","Meats","Foods",2000,1383.2
"Fresh or chilled red meats","WORLD (Quantity)","1,000 mt","Meats","Foods",2000,590.6
"Frozen red meats and parts","WORLD (Quantity)","1,000 mt","Meats","Foods",2000,737.1
"Fowl and other meats","WORLD (Quantity)","1,000 mt","Meats","Foods",2000,13.5
"Prepared meats","WORLD (Quantity)","1,000 mt","Meats","Foods",2000,181.4
"Total fish and shellfish","WORLD (Quantity)","1,000 mt","Fish","Foods",2000,1710.9
"Whole fish--fresh, chilled, or frozen","WORLD (Quantity)","1,000 mt","Fish","Foods",2000,362.8
"Fish fillets and mince","WORLD (Quantity)","1,000 mt","Fish","Foods",2000,425.9
"Shellfish, fresh or frozen","WORLD (Quantity)","1,000 mt","Fish","Foods",2000,504.2
"Prepared fish and shellfish","WORLD (Quantity)","1,000 mt","Fish","Foods",2000,418.1
"Total vegetables and preparations","WORLD (Quantity)","1,000 mt","Vegetables","Foods",2000,4742.2
"Fresh vegetables","WORLD (Quantity)","1,000 mt","Vegetables","Foods",2000,2918.7
"Frozen vegetables","WORLD (Quantity)","1,000 mt","Vegetables","Foods",2000,352.2
"Dried vegetables","WORLD (Quantity)","1,000 mt","Vegetables","Foods",2000,256.4
"Prepared or preserved vegetables","WORLD (Quantity)","1,000 mt","Vegetables","Foods",2000,1219.7
"Total dairy products","WORLD (Quantity)","1,000 mt","Dairy","Foods",2000,297.1
"Cheese, fresh or processed","WORLD (Quantity)","1,000 mt","Dairy","Foods",2000,188.7
"Yogurt, buttermilk, or whey","WORLD (Quantity)","1,000 mt","Dairy","Foods",2000,70.3
"Milk and cream","WORLD (Quantity)","1,000 mt","Dairy","Foods",2000,18.9
"Butter or spreads","WORLD (Quantity)","1,000 mt","Dairy","Foods",2000,19.2
"Total fruit and preparations","WORLD (Quantity)","1,000 mt","Fruits","Foods",2000,7639.5
"Fresh or chilled fruit","WORLD (Quantity)","1,000 mt","Fruits","Foods",2000,6748.7
"Bananas and plantains","WORLD (Quantity)","1,000 mt","Fruits","Foods",2000,4246.3
"Frozen fruit","WORLD (Quantity)","1,000 mt","Fruits","Foods",2000,101.9
"Dried, prepared or preserved fruit","WORLD (Quantity)","1,000 mt","Fruits","Foods",2000,788.5
"Fruit juices","WORLD (Quantity)","1,000 mt","Fruits","Foods",2000,0.5
"Total nuts","WORLD (Quantity)","1,000 mt","Nuts","Foods",2000,312.4
"Tree nuts","WORLD (Quantity)","1,000 mt","Nuts","Foods",2000,208.5
"Cashew nuts","WORLD (Quantity)","1,000 mt","Nuts","Foods",2000,82.5
"Prepared tree nuts","WORLD (Quantity)","1,000 mt","Nuts","Foods",2000,22.3
"Ground nuts","WORLD (Quantity)","1,000 mt","Nuts","Foods",2000,81.6
"Total coffee, tea, and spices","WORLD (Quantity)","1,000 mt","Coffee","Foods",2000,1725.2
"Coffee beans, unroasted","WORLD (Quantity)","1,000 mt","Coffee","Foods",2000,1297.3
"Coffee, roasted and instant","WORLD (Quantity)","1,000 mt","Coffee","Foods",2000,41.1
"Coffee extracts and preparations","WORLD (Quantity)","1,000 mt","Coffee","Foods",2000,33.7
"Tea and mate","WORLD (Quantity)","1,000 mt","Coffee","Foods",2000,161.0
"Spices","WORLD (Quantity)","1,000 mt","Coffee","Foods",2000,192.0
"Total grains and products","WORLD (Quantity)","1,000 mt","Grains","Foods",2000,6532.7
"Bulk grains","WORLD (Quantity)","1,000 mt","Grains","Foods",2000,4763.6
"Wheat and products","WORLD (Quantity)","1,000 mt","Grains","Foods",2000,2145.4
"Rice and products","WORLD (Quantity)","1,000 mt","Grains","Foods",2000,311.4
"Milled grain products","WORLD (Quantity)","1,000 mt","Grains","Foods",2000,696.0
"Cereal and bakery foods","WORLD (Quantity)","1,000 mt","Grains","Foods",2000,1073.2
"Total vegetable oils","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",2000,1562.2
"Crude vegetable oils","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",2000,402.9
"Refined vegetable oils","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",2000,1012.5
"Olive oil","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",2000,194.4
"Tropical oils","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",2000,810.8
"Oilseeds","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",2000,932.2
"Total sweeteners and candy","WORLD (Quantity)","1,000 mt","Sweets","Foods",2000,2111.8
"Sugar, cane and beet","WORLD (Quantity)","1,000 mt","Sweets","Foods",2000,1473.2
"Other sweeteners and syrups","WORLD (Quantity)","1,000 mt","Sweets","Foods",2000,305.9
"Confections","WORLD (Quantity)","1,000 mt","Sweets","Foods",2000,332.7
"Total cocoa and products","WORLD (Quantity)","1,000 mt","Cocoa","Foods",2000,998.8
"Cocoa beans","WORLD (Quantity)","1,000 mt","Cocoa","Foods",2000,470.9
"Cocoa paste, butter, and powder","WORLD (Quantity)","1,000 mt","Cocoa","Foods",2000,239.1
"Chocolate","WORLD (Quantity)","1,000 mt","Cocoa","Foods",2000,286.3
"Sauces, soups, prepared foods","WORLD (Quantity)","1,000 mt","Other","Foods",2000,563.6
"Essential oils","WORLD (Quantity)","1,000 mt","Other","Foods",2000,37.8
"Animal and other fats","WORLD (Quantity)","1,000 mt","Other","Foods",2000,172.1
"Other edible products","WORLD (Quantity)","1,000 mt","Other","Foods",2000,231.2
"Total beverages","WORLD (Quantity)","1,000 litpf","Beverages","Foods",2000,3898.2
"Wine","WORLD (Quantity)","1,000 litpf","Beverages","Foods",2000,487.7
"Malt beer","WORLD (Quantity)","1,000 litpf","Beverages","Foods",2000,2331.2
"Nonalcoholic beverages","WORLD (Quantity)","1,000 litpf","Beverages","Foods",2000,1079.3
"Liquors and liqueurs","WORLD (Quantity)","1,000 litpf","Beverages","Foods",2000,423112.5
"Live meat animals","WORLD (Quantity)","1,000","Food volume","Foods",2000,6521.8
"Meats","WORLD (Quantity)","1,000 mt","Food volume","Foods",2000,1578.1
